gene_accession,SRR4425689,SRR4425688,SRR4425691,SRR4425695,SRR4425683,SRR4425690,SRR4425694,SRR4425656,SRR4425684,SRR4425696,SRR4425681,SRR4425685,SRR4425692,SRR4425687,SRR4425686,SRR4425682
MEG_2685|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,23.0,14.0
MEG_7158|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,78.0,114.0,0,159.0,88.0,367.0,0,0,0,560.0,523.0,39.0,0,308.0,44.0,669.0
MEG_1058|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0
MEG_7230|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,103.0,95.0,0,310.0,394.0,355.0,0,0,140.0,753.0,524.0,392.0,0,386.0,529.0,723.0
MEG_1000|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,0,8.0,0,637.0,438.0,50.0,0,0,479.0,1236.0,2145.0,490.0,0,27.0,1643.0,2472.0
MEG_3830|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFE,223.0,335.0,0,366.0,1660.0,565.0,0,0,86.0,1164.0,725.0,864.0,0,831.0,591.0,1840.0
MEG_2789|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0,0,0,188.0,668.0,0,0,0,828.0,262.0,380.0,989.0,0,0,680.0,379.0
MEG_6630|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5178|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,0
MEG_3736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA,0,0,0,0,0,0,0,0,92.0,0,0,44.0,0,0,169.0,61.0
MEG_1284|Drugs|betalactams|Class_C_betalactamases|BLAEC,0,0,0,0,52.0,0,0,0,119.0,0,0,26.0,0,0,95.0,0
MEG_6594|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,0,0,0,0,0,0,24.0,0,0,16.0,0,0,10.0,0
MEG_6637|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,0
MEG_3819|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,71.0,0,0,0,185.0,225.0,83.0,92.0,72.0,0,0,95.0,0,277.0,545.0,0
MEG_2821|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,0,8.0,0,0,1238.0,0,0,0,2869.0,0,0,3776.0,0,12.0,2764.0,0
MEG_2809|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,0,0,0,0,3259.0,25.0,0,0,13889.0,0,0,14876.0,0,51.0,5388.0,0
MEG_4010|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC,0,0,0,82.0,107.0,0,0,0,170.0,79.0,89.0,78.0,0,0,411.0,101.0
MEG_7186|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0
MEG_2069|Metals|Copper_resistance|Copper_resistance_regulator|COPR,0,0,0,0,0,0,87.0,71.0,0,0,0,0,122.0,0,0,0
MEG_1011|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,0,0,0,72.0,151.0,0,0,0,0,287.0,226.0,84.0,0,0,117.0,897.0
MEG_3754|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTG,0,0,0,63.0,95.0,0,0,0,139.0,57.0,62.0,57.0,0,0,234.0,63.0
